Share_Issued_2023,Share_Issued_2022,Share_Issued_2021,Share_Issued_2020,Stockholders_Equity_2023,Stockholders_Equity_2022,Stockholders_Equity_2021,Stockholders_Equity_2020,Total_Debt_2023,Total_Debt_2022,Total_Debt_2021,Total_Debt_2020,Free_Cash_Flow_2023,Free_Cash_Flow_2022,Free_Cash_Flow_2021,Free_Cash_Flow_2020,Operating_Cash_Flow_2023,Operating_Cash_Flow_2022,Operating_Cash_Flow_2021,Operating_Cash_Flow_2020,Basic_EPS_2023,Basic_EPS_2022,Basic_EPS_2021,Basic_EPS_2020,Net_Income_2023,Net_Income_2022,Net_Income_2021,Net_Income_2020,Total_Revenue_2023,Total_Revenue_2022,Total_Revenue_2021,Total_Revenue_2020,ticker,Share_Issued_2019,Stockholders_Equity_2019,Total_Debt_2019,Free_Cash_Flow_2019,Operating_Cash_Flow_2019,Basic_EPS_2019,Net_Income_2019,Total_Revenue_2019
,15750234691.0,15744469656.0,15735117780.0,,81955600000.0,82643000000.0,73815600000.0,,3845000000.0,3100500000.0,4792300000.0,,14109100000.0,15223900000.0,14163100000.0,,20642200000.0,22901000000.0,18855800000.0,,0.94,0.83,0.75,,14457900000.0,12671000000.0,11379400000.0,,79708800000.0,72854300000.0,58379000000.0,ABEV,15733553382.0,61278000000.0,3062800000.0,13311900000.0,18381300000.0,0.75,11780000000.0,52599700000.0
,43593809.0,45052293.0,41133668.0,,2903300000.0,2115500000.0,905500000.0,,3688800000.0,4561200000.0,2365200000.0,,588100000.0,1081700000.0,603700000.0,,696000000.0,1163700000.0,652500000.0,,44.78,26.75,13.25,,997300000.0,532400000.0,254400000.0,,15433900000.0,9837700000.0,7131800000.0,ABG,41072080.0,646300000.0,1880900000.0,283000000.0,349800000.0,9.65,184400000.0,7210300000.0
,14410143.0,14410143.0,9548150.0,,41673000.0,51043000.0,46521000.0,,280000.0,383000.0,409000.0,,-10914000.0,-18805000.0,-7744000.0,,-10912000.0,-18762000.0,-7725000.0,,-0.69,-1.39,-2.07,,-9926000.0,-19322000.0,-9738000.0,,0.0,0.0,0.0,ABIO,1594070.0,7610000.0,,-4805000.0,-4801000.0,-4.15,-5482000.0,0.0
,63349823.0,61800000.0,61800000.0,,2011137.0,2722995.0,2083796.0,,302497.0,367508.0,65614.0,,-462390.0,1116099.0,904092.0,,-383291.0,1342763.0,904092.0,,-0.001042,0.019802,0.028553,,-52495.0,997415.0,1438209.0,,25203463.0,22592144.0,27370319.0,ABL,,,,,,,,
,48617833.0,48617833.0,48617833.0,,2395590.0,9033046.0,7738714.0,,16004529.0,3556088.0,3319770.0,,-13045333.0,-2072890.0,2691123.0,,-12849693.0,-1897990.0,2845510.0,,0.180536,0.205287,0.140279,,7903611.0,8695784.0,5942117.0,,145256256.0,117322028.0,71276401.0,ABLV,,,,,,,,
,65587894.0,67302449.0,66748157.0,,1717200000.0,1609200000.0,1500300000.0,,1402600000.0,1032600000.0,886100000.0,,-30400000.0,280000000.0,419500000.0,,20400000.0,314300000.0,457500000.0,,3.44,1.87,0.004484,,230400000.0,126300000.0,300000.0,,7806600000.0,6228600000.0,5987600000.0,ABM,,,,,,,,
,640000000.0,642724000.0,608397000.0,,5560000000.0,4775713000.0,2901783000.0,,2341000000.0,2418499000.0,2303053000.0,,3405000000.0,2164372000.0,-667103000.0,,3430000000.0,2189694000.0,-629732000.0,,2.97,-0.57,-16.12,,1893000000.0,-352034000.0,-4584716000.0,,8399000000.0,5991760000.0,3378199000.0,ABNB,587199007.0,-807685000.0,419396000.0,97275000.0,222727000.0,-1.270073,-674339000.0,4805239000.0
,41025062.0,40473270.0,38651795.0,,188775000.0,225183000.0,-18591000.0,,105000.0,,,,-35314000.0,-18001000.0,-7450000.0,,-35153000.0,-17961000.0,-7450000.0,,-1.06,-5.02,-0.255656,,-42856000.0,-100606000.0,-7325000.0,,0.0,0.0,1436000.0,ABOS,36985129.0,-11420000.0,,-6818000.0,-6818000.0,-0.268255,-7907000.0,1697000.0
,178230522.0,151362181.0,123181173.0,,2936996000.0,2418122000.0,1344371000.0,,13561799000.0,12153342000.0,5824664000.0,,1099649000.0,216847000.0,55165000.0,,1099649000.0,216847000.0,55165000.0,,1.72,2.3,1.44,,325783000.0,339300000.0,170949000.0,,619061000.0,590923000.0,434133000.0,ABR,109706214.0,1184610000.0,4701086000.0,-226537000.0,-226537000.0,1.3,128628000.0,349386000.0
,92411103.0,92648036.0,90375022.0,,274414000.0,366107000.0,-89428000.0,,22983000.0,20011000.0,14500000.0,,-97514000.0,-98645000.0,-13151000.0,,-81339000.0,-60598000.0,-10970000.0,,-1.15,-2.08,-0.547375,,-104904000.0,-100960000.0,-14353000.0,,5747000.0,4782000.0,4780000.0,ABSI,90375022.0,-41159000.0,6016000.0,-7130000.0,-6032000.0,-0.264122,-6584000.0,2060000.0
