Share_Issued_2023,Share_Issued_2022,Share_Issued_2021,Share_Issued_2020,Share_Issued_2019,Stockholders_Equity_2023,Stockholders_Equity_2022,Stockholders_Equity_2021,Stockholders_Equity_2020,Stockholders_Equity_2019,Total_Debt_2023,Total_Debt_2022,Total_Debt_2021,Total_Debt_2020,Total_Debt_2019,Free_Cash_Flow_2023,Free_Cash_Flow_2022,Free_Cash_Flow_2021,Free_Cash_Flow_2020,Free_Cash_Flow_2019,Operating_Cash_Flow_2023,Operating_Cash_Flow_2022,Operating_Cash_Flow_2021,Operating_Cash_Flow_2020,Operating_Cash_Flow_2019,Basic_EPS_2023,Basic_EPS_2022,Basic_EPS_2021,Basic_EPS_2020,Net_Income_2023,Net_Income_2022,Net_Income_2021,Net_Income_2020,Total_Revenue_2023,Total_Revenue_2022,Total_Revenue_2021,Total_Revenue_2020,ticker,Basic_EPS_2019,Net_Income_2019,Total_Revenue_2019,Share_Issued_2024,Stockholders_Equity_2024,Total_Debt_2024,Free_Cash_Flow_2024,Operating_Cash_Flow_2024,Basic_EPS_2024,Net_Income_2024,Total_Revenue_2024
15753833284.0,15750234691.0,15744469656.0,15735117780.0,,78969300000.0,81955600000.0,82643000000.0,73815700000.0,,3501100000.0,3845000000.0,3131100000.0,4792300000.0,,18707300000.0,14109000000.0,15224200000.0,14163100000.0,,24711400000.0,20642100000.0,22901300000.0,18855800000.0,,0.9211,0.94,0.83,0.75,14501900000.0,14457900000.0,12671000000.0,11379400000.0,79736900000.0,79708800000.0,72854300000.0,58379000000.0,ABEV,,,,,,,,,,,
42352001.0,43593809.0,45052293.0,41133668.0,,3244100000.0,2903300000.0,2115500000.0,905500000.0,,5479200000.0,3688800000.0,4561200000.0,2365200000.0,,170700000.0,588100000.0,1081700000.0,603700000.0,,313000000.0,696000000.0,1163700000.0,652500000.0,,28.87,44.78,26.75,13.25,602500000.0,997300000.0,532400000.0,254400000.0,14802700000.0,15433900000.0,9837700000.0,7131800000.0,ABG,,,,,,,,,,,
14501143.0,14410143.0,14410143.0,9548150.0,,37020000.0,41673000.0,51043000.0,46521000.0,,204000.0,280000.0,383000.0,409000.0,,-5014000.0,-10914000.0,-18805000.0,-7744000.0,,-5014000.0,-10912000.0,-18762000.0,-7725000.0,,-0.37,-0.69,-1.39,-2.07,-5339000.0,-9926000.0,-19322000.0,-9738000.0,0.0,0.0,0.0,0.0,ABIO,,,,,,,,,,,
63388823.0,63349823.0,63349823.0,63349823.0,,163931793.0,27250159.0,80000.0,2083796.0,,141735299.0,28327048.0,367508.0,65614.0,,-64712823.0,10693254.0,1116099.0,904092.0,,-64523149.0,10693254.0,1342763.0,904092.0,,0.17,-0.001041,0.019775,0.028514,9516626.0,31682275.0,997415.0,1438209.0,66401451.0,44713552.0,22592144.0,27370319.0,ABL,,,,,,,,,,,
42118816.0,42359233.0,42359233.0,42359233.0,,11415579.0,2395590.0,9033046.0,7738714.0,,4650366.0,16004529.0,3556088.0,3319770.0,,23117907.0,-13045333.0,-2072890.0,2691123.0,,23573330.0,-12849693.0,-1897990.0,2845510.0,,,0.180536,0.205287,0.140279,9750046.0,7903611.0,8695784.0,5942117.0,148999819.0,145256256.0,117322028.0,71276401.0,ABLV,,,,,,,,,,,
62847387.0,65587894.0,67302449.0,66748157.0,,1799900000.0,1717200000.0,1609300000.0,1500400000.0,,1442600000.0,1402700000.0,1032600000.0,886100000.0,,190700000.0,-30400000.0,280000000.0,419500000.0,,243300000.0,20400000.0,314300000.0,457500000.0,,3.81,3.44,1.87,0.004484,251300000.0,230400000.0,126300000.0,300000.0,8096400000.0,7806600000.0,6228600000.0,5987600000.0,ABM,,,,,,,,,,,
638000000.0,640000000.0,642724000.0,608397000.0,,8165000000.0,5560000000.0,4775000000.0,2901783000.0,,2304000000.0,2341000000.0,2418000000.0,2329808000.0,,3884000000.0,3430000000.0,2313000000.0,-667103000.0,,3884000000.0,3430000000.0,2313000000.0,-629732000.0,,7.52,2.97,-0.57,-16.12,4792000000.0,1893000000.0,-352000000.0,-4584716000.0,9917000000.0,8399000000.0,5992000000.0,3378199000.0,ABNB,,,,,,,,,,,
57910461.0,41025062.0,40473270.0,38651795.0,,266973000.0,188775000.0,225183000.0,-18591000.0,,28487000.0,105000.0,0.0,,,-43085000.0,-35314000.0,-18001000.0,-7450000.0,,-43064000.0,-35153000.0,-17961000.0,-7450000.0,,-1.08,-1.06,-5.02,-0.255656,-52371000.0,-42856000.0,-100606000.0,-7325000.0,0.0,0.0,0.0,0.0,ABOS,,,,,,,,,,,
188505264.0,178230522.0,151362181.0,123181173.0,,3117973000.0,2936996000.0,2418122000.0,1344371000.0,,9395033000.0,10138108000.0,8394642000.0,4680703000.0,,235857000.0,1099649000.0,216847000.0,55165000.0,,235857000.0,1099649000.0,216847000.0,55165000.0,,1.79,1.72,2.3,1.44,371434000.0,325783000.0,339300000.0,170949000.0,721012000.0,619061000.0,590923000.0,434133000.0,ABR,,,,,,,,,,,
93087675.0,92411103.0,92648036.0,90375022.0,,176176000.0,274414000.0,366107000.0,-89428000.0,,15957000.0,22983000.0,20011000.0,14500000.0,,-65496000.0,-97514000.0,-98645000.0,-13151000.0,,-64636000.0,-81339000.0,-60598000.0,-10970000.0,,-1.2,-1.15,-2.08,-0.547375,-110566000.0,-104904000.0,-100960000.0,-14353000.0,5718000.0,5747000.0,4782000.0,4780000.0,ABSI,,,,,,,,,,,
1987883852.0,1986519278.0,1985273421.0,1981156896.0,,38603000000.0,36686000000.0,35802000000.0,32784000000.0,,15628000000.0,17716000000.0,19006000000.0,19649000000.0,,5059000000.0,7804000000.0,8648000000.0,5724000000.0,,7261000000.0,9581000000.0,10533000000.0,7901000000.0,,3.300316,3.989538,4.008317,2.537784,5723000000.0,6933000000.0,7071000000.0,4495000000.0,40109000000.0,43653000000.0,43075000000.0,34608000000.0,ABT,,,,,,,,,,,
169867414.0,157455363.0,144987736.0,90842722.0,,106018000.0,136852000.0,169439000.0,101966000.0,,1768000.0,2187000.0,2614000.0,2983000.0,,-86944000.0,-35868000.0,-68341000.0,-51670000.0,,-85936000.0,-35356000.0,-67532000.0,-51441000.0,,-0.44,-0.46,-0.83,-1.0,-72849000.0,-69456000.0,-76247000.0,-63745000.0,18141000.0,39019000.0,10988000.0,6914000.0,ABUS,,,,,,,,,,,
7940298.0,3313266.0,2892632.0,2442052.0,,8388050.0,3098585.0,8843653.0,3438340.0,,2277989.0,3054891.0,3111899.0,6482945.0,,-4257046.0,-7518083.0,-7615222.0,-4563919.0,,-4235845.0,-7398391.0,-7597719.0,-4563919.0,,-2.43,-5.2,-5.1,-5.0,-10515656.0,-16423239.0,-12838813.0,-9791164.0,152430.0,969783.0,355797.0,483045.0,ABVC,,,,,,,,,,,
48562279.0,48400000.0,48300000.0,48200000.0,,2332000000.0,2184400000.0,1953300000.0,1892200000.0,,568700000.0,550600000.0,679500000.0,254500000.0,,57500000.0,36300000.0,81400000.0,177800000.0,,261000000.0,174300000.0,166500000.0,259900000.0,,3.27,5.08,1.44,2.2,159200000.0,245800000.0,69600000.0,106600000.0,2307900000.0,2242800000.0,2036400000.0,1935600000.0,ACA,,,,,,,,,,,
8167391.0,37500000.0,37500000.0,,,-8522477.0,297918518.0,23207.0,,,160000.0,,100277.0,,,-3845177.0,-1184963.0,,,,-3845177.0,-1184963.0,,,,0.15,0.02,,,2821459.0,886918.0,,,0.0,0.0,,,ACAB,,,,,,,,,,,
5411300.0,10781250.0,,,,31561068.0,86893341.0,,,,1431747.0,,,,,-849990.0,-741139.0,,,,-849990.0,-741139.0,,,,-0.34,-1.25,,,886366.0,217224.0,,,0.0,0.0,,,ACAC,,,,,,,,,,,
164650219.0,162064872.0,161012695.0,159637771.0,,431755000.0,400413000.0,540894000.0,627009000.0,,57205000.0,62000000.0,64430000.0,49547000.0,,-23348000.0,-114035000.0,-126782000.0,-143753000.0,,16702000.0,-114035000.0,-125660000.0,-136166000.0,,-0.37,-1.34,-1.05,-1.79,-61286000.0,-215975000.0,-167870000.0,-281584000.0,726437000.0,517235000.0,484145000.0,441755000.0,ACAD,,,,,,,,,,,
,29777223.0,19806892.0,11522881.0,,,661843000.0,2037700000.0,2147582000.0,,,269491000.0,399550000.0,531247000.0,,,-142480000.0,-263659000.0,-690956000.0,,,-110267000.0,-210577000.0,-342142000.0,,,-79.9,-41.0,-339.4,,-1717624000.0,-693625000.0,-3282694000.0,,221339000.0,245252000.0,268703000.0,ACB,,,,54545797.0,559773000.0,104791000.0,-85464000.0,-68508000.0,-1.52,-69326000.0,270281000.0
73089075.0,67098477.0,55699052.0,,,473786000.0,855794000.0,390848000.0,,,317392000.0,320337000.0,0.0,,,-47933000.0,-65967000.0,-27597000.0,,,-40705000.0,-62350000.0,-25232000.0,,,-6.45,-1.93,-1.72,,-459650000.0,-123124000.0,-50652000.0,,363142000.0,310021000.0,170358000.0,,ACCD,,,,78070781.0,445465000.0,241648000.0,-28651000.0,-16169000.0,-1.33,-99805000.0,414292000.0
99819679.0,98851581.0,100118494.0,99129455.0,,787000000.0,810100000.0,864800000.0,742700000.0,,1016200000.0,1092900000.0,1110500000.0,1230200000.0,,114900000.0,61100000.0,138400000.0,103900000.0,,128700000.0,77600000.0,159600000.0,119200000.0,,-0.23,-0.14,1.07,0.65,-21800000.0,-13200000.0,101900000.0,62000000.0,1832800000.0,1947600000.0,2025300000.0,1655200000.0,ACCO,,,,,,,,,,,
159388841.0,54000000.0,34991326.0,34991326.0,,1211200000.0,-1184400000.0,147100000.0,176812000.0,,1160800000.0,1042400000.0,301600000.0,275713000.0,,286500000.0,59000000.0,-43500000.0,-2900000.0,,553500000.0,415200000.0,43900000.0,45100000.0,,-0.82,1.694444,0.0,0.0,-97700000.0,91500000.0,0.0,-2200000.0,2630000000.0,2425600000.0,768400000.0,547700000.0,ACDC,,,,,,,,,,,
95016960.0,94504051.0,94111868.0,93379508.0,,198404000.0,178590000.0,158461000.0,127871000.0,,542574000.0,542032000.0,341522000.0,340141000.0,,50786000.0,60620000.0,81002000.0,-29466000.0,,132530000.0,107999000.0,110755000.0,-3705000.0,,0.53,0.82,0.34,-0.139045,45603000.0,74102000.0,31559000.0,-410000.0,1170420000.0,969797000.0,734707000.0,316352000.0,ACEL,,,,,,,,,,,
43270386.0,42954820.0,39736914.0,19677249.0,,170175000.0,292338000.0,303129000.0,109827000.0,,20924000.0,21023000.0,20944000.0,21639000.0,,-98181000.0,-61547000.0,-64098000.0,-42542000.0,,-93717000.0,-44765000.0,-51052000.0,-41552000.0,,-3.31,-1.7,-2.0,-5.01,-142658000.0,-69790000.0,-61999000.0,-36678000.0,0.0,24990000.0,9730000.0,17903000.0,ACET,,,,,,,,,,,
